institutions_1                                                                          ,countries_1           ,institutions_2                                                      ,countries_2        , institutions_3                                    ,countries_3     ,institutions_4                                                     ,countries_4 ,institutions_5       ,countries_5 ,
SketchFab                                                                               ,France / USA          ,Glasgow University                                                  ,England            , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of Oxford                                                                    ,England               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,King's College London                                               ,England            , University of Exeter                              ,England         ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,Brown University                                                    ,USA                ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Chicago                                                                   ,USA                   ,Alpheios                                                            ,Alpheios           , University of Helsinki                            ,Finland         ,                                                                   ,            ,                     ,            ,
Boğaziçi University                                                                     ,Turkey                ,Haifa University                                                    ,Israel             , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
Birkbeck University                                                                     ,England               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Helsinki                                                                  ,Finland               ,University of Helsinki                                              ,Finland            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of Tehran                                                ,Iran               ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Helsinki                                                                  ,Finland               ,"Università Cattolica del Sacro Cuore, Milan"                       ,Italy              ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Ghent                                                                     ,Belgium               ,University of Basel                                                 ,Switzerland        , King's College London                             ,England         ,                                                                   ,            ,                     ,            ,
Kraków University                                                                       ,Poland                ,University of Nebraska-Lincoln                                      ,USA                , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Istituto di Linguistica Computazionale «A. Zampolli», CNR, Pisa"                       ,Italy                 ,"Istituto di Linguistica Computazionale «A. Zampolli», CNR, Pisa"   ,Italy              ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Zagreb                                                                    ,Croatia               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Florida                                                                   ,USA                   ,University of Florida                                               ,USA                ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Florida                                                                   ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Oklahoma                                                                  ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Furman University                                                                       ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of London                                                ,England            , Heidelberg Academy of Sciences and Humanities     ,Germany         ,"Ilia State University, Georgia"                                   ,Georgia     ,                     ,            ,
