n_total,Institutions
226,University of Cambridge
226,Institut national des sciences appliquées de Lyon (INSA Lyon)
227,Leipzig University
227,Leipzig University
227,Stellenbosch University
227,Rijksmuseum van Oudheden Leiden
228,Leipzig University
228,Furman University
228,Furman University
228,Leipzig University
229,University of Nebraska Lincoln
229,Tufts University
230,University of London
230,University of London
230,University of Helsinki
231,University of London
231,Liceo Classico G. Pantaleo - Castelvetrano (TP)
231,La Sapienza University of Rome
232,Université de Neuchâtel
232,Università Cattolica del Sacro Cuore
233,Leipzig University
233,Tel Aviv University-University of London
234,University of London
234,University of Cologne
234,Ain Shams University"
235,Leipzig University
235,University of London
235,Wikimedia UK
235,King’s College London
236,Open University
236,University of Sheffield
239,Barnard College
239,University of Exeter
240,University of London
240,Hebrew University of Jerusalem
241,University College London
241,Open University
243,Leipzig University
243,Tel Aviv University-University of London
243,University of London
244,Leipzig University
244,University of London
244,independent scholar
245,Leipzig University
245,Yale University
247,University of London
247,University of Cologne
247,Maynooth University
248,University of London
248,University of London
248,British School at Rome
248,University of Porto
249,Furman University
249,University of Sheffield
250,University of London
250,University of Massachusetts Amherst
251,University of London
251,Endangered Material Knowledge Programme
251,"GLAM-E Lab"
251,"University of Exeter"
251,University of Exeter
252,Leipzig University
252,University of London
252,Birkbeck University
252,Bard College
254,University of London
254,University of London
254,Hebrew University of Jerusalem
255,University Leipzig
255,University of London
255,University of Köln
256,University Leipzig
256,University of London
257,University Wien
257,University of Wien
258,University Paris Nanterre
258,University of London
258,University of London
259,University of London
259,University of Leuven
259,University of Helsinki
260,University Frankfurt
260,Ilia State University
261,Leipzig University
261,University of London
261,King’s College London
262,University of Cambridge
262,University of London
262,King’s College London
263,Free University of Berlin
263,Leipzig University
264,University of London
264,University of Bologna
265,University of London
265,King’s College London
265,Wikimedia UK
265,King’s College London
266,University of London
266,University of London
266,Oxford Text Archive
267,Copenhagen University
267,University of York
267,Lund University
267,King’s College London
268,Oxford Text Archive
268,Furman University
268,Leipzig University
269,University of Helsinki
269,University of Helsinki
270,Leipzig University
270,University of London
270,Columbia University
270,Durham University
270,University of Helsinki
271,Bard College
271,New York University
271,Yale University
272,University of York
272,University of Glasgow
272,University of London
273,University of Glasgow
273,British Museum
274,Furman University
274,Durham University
274,University of Massachusetts Amherst
275,British Museum
275,University of Ottawa
276,University of London
276,University of London
276,University of Helsinki
277,Digital Heritage Consulting
277,Leiden University
278,University of London
278,University of Glasgow
279,Ca' Foscari University of Venice
280,Ca' Foscari University of Venice
281,University of Cologne
282,Ca' Foscari University of Venice
282,Kore University of Enna
