n_total,acad_year,season,n_in_acad_year,date,year,title,contributors_1,institutions_1,contributors_2,institutions_2,contributors_3,institutions_3,contributors_4,institutions_4,contributors_5,institutions_5,contributors_6,institutions_6,contributors_7,institutions_7,themes_1,themes_2,themes_3,themes_4,themes_5,themes_6,class outline
45,2016-2017,Fall,9,24/11/2016,2016,Data Visualization,Jonathan Blaney,Institute of Historical Research,Sarah Milligan,Institute of Historical Research,Jane Winters,School of Advanced Study,,,,,,,,,visualisation,data mining,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-9:-Data-Visualization"
46,2016-2017,Fall,10,01/12/2016,2016,Network Analysis,Silke Vanbeselaere,Katholieke Universiteit Leuven,Greg Woolf,University of London,,,,,,,,,,,visualisation,prosopography,data mining,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-10:-Network-Analysis"
47,2016-2017,Fall,11,08/12/2016,2016,Crowdsourcing Heritage and Conservation,John Pearce,King's College London,,,,,,,,,,,,,data mining,crowdsourcing,linked open data,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-11:-Crowdsourcing-Heritage-and-Conservation"
48,2016-2017,Fall,12,15/12/2016,2016,Historical sources,Monica Berti,University of Leipzig,,,,,,,,,,,,,digital archives and library,text mining,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-12:-Historical-Sources"
49,2016-2017,Spring,1,26/01/2017,2017,Geo-annotation,Chiara Palladino,University of Leipzig / University of Bari,Valeria Vitale,King's College London,,,,,,,,,,,geography,annotation,maps and mapping,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Geo-annotation"
50,2016-2017,Spring,2,02/02/2017,2017,Encoding of ancient texts,Gabriel Bodard,University of London,Simona Stoyanova,King's College London,,,,,,,,,,,encoding,text mining,annotation,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Encoding-of-ancient-texts"
51,2016-2017,Spring,3,09/02/2017,2017,Annotating treebanks,Polina Yordanova,University of Sofia,Marja Vierros,University of Helsinki,,,,,,,,,,,annotation,encoding,treebank,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Annotating-treebanks"
52,2016-2017,Spring,4,16/02/2017,2017,Querying treebanks / INESS / Regex,Dag Haug,University of Oslo,,,,,,,,,,,,,treebank,data mining,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Querying-treebanks-INESS-Regex"
53,2016-2017,Spring,5,23/02/2017,2017,Querying treebanks / XML / XQuery / XPath,Giuseppe Celano,University of Leipzig,,,,,,,,,,,,,treebank,data mining,XML-TEI,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Querying-treebanks-XML,-XQuery,-XPath"
54,2016-2017,Spring,6,02/03/2017,2017,"Translation alignment: Herodotus in Greek, English and Arabic",Usama Gad,"Ain Shams University, Cairo",,,,,,,,,,,,,translation,annotation,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Translation-alignment:-Herodotus-in-Greek,-English-and-Arabic"
55,2016-2017,Spring,7,09/03/2017,2017,Prosopography,Rada Varga,"Babeș-Bolyai University, Cluj-Napoca",Gabriel Bodard,University of London,,,,,,,,,,,prosopography,annotation,named entities,data mining,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Prosopography"
56,2016-2017,Spring,8,16/03/2017,2017,Computational Morphology,Dag Haug,University of Oslo,Barbara McGillivray,Alan Turing Institute / University of Cambridge,,,,,,,,,,,text encoding,annotation,treebank,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Computational-Morphology"
57,2016-2017,Spring,9,23/03/2017,2017,Named entity extraction I,Matteo Romanello,"Deutsches Archäologisches Institut, Berlin",Francesco Mambrini,"Deutsches Archäologisches Institut,Berlin",,,,,,,,,,,named entities,text mining,data mining,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Named-Entity-Extraction-I"
58,2016-2017,Spring,10,30/03/2017,2017,Developing linguistic metrics for the analysis of Ancient Greek,Eleni Bozia,University of Florida,Anise D'Orange Ferreira,Universidade Estadual Paulista,,,,,,,,,,,annotation,text mining,treebank,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Developing-linguistic-metrics-for-the-analysis-of-Ancient-Greek"
59,2016-2017,Spring,11,06/04/2017,2017,Reading Herodotus in Tbilisi,Levan Gordeziani,"Tbilisi State University, Georgia",,,,,,,,,,,,,translation,,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Reading-Herodotus-in-Tbilisi"
60,2016-2017,Spring,12,13/04/2017,2017,Reading Herodotus in Tehran,Arash Keramati,University of Tehran,Maryam Foradi,University of Tehran,,,,,,,,,,,translation,text mining,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Reading-Herodotus-in-Teheran"
61,2016-2017,Spring,13,20/04/2017,2017,Named entity extraction II,Matteo Romanello,"Deutsches Archäologisches Institut, Berlin",Francesco Mambrini,"Deutsches Archäologisches Institut,Berlin",,,,,,,,,,,named entities,data mining,treebank,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Named-Entity-Extraction-II"
62,2016-2017,Spring,14,27/04/2017,2017,Digital Mycenology,Federico Aurora,University of Oslo,,,,,,,,,,,,,digital archives and library,epigraphy,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Digital-Mycenology"
63,2016-2017,Spring,15,11/05/2017,2017,Digital Papyrology: documentary papyri,Nadine Quenouille,University of Leipzig,Gabriel Bodard,University of London,Lucia Vannini,University of London,,,,,,,,,paleography,manuscript,digital archives and library,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Digital-Papyrology:-Documentary-Papyri"
64,2016-2017,Spring,16,18/05/2017,2017,Digital Papyrology: literary and paraliterary texts and linguistic annotation of documentary papyri,Marja Vierros,University of Parma / University of Trier,Nicola Reggiani,University of Helsinki,Lucia Vannini,University of London,,,,,,,,,annotation,manuscript,objects and artefacts,epigraphy,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Digital-Papyrology:-literary-and-paraliterary-texts-and-linguistic-annotation-of-documentary-papyri"
65,2016-2017,Spring,17,25/05/2017,2017,Translation Alignment: Possibilities of Language Learning and Vocabulary Training,Maryam Foradi,University of Leipzig,Farnoosh Shamsian,University of Tehran,,,,,,,,,,,translation,treebank,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Translation-Alignment%3A-Possibilities-of-Language-Learning-and-Vocabulary-Training"
66,2016-2017,Spring,18,01/06/2017,2017,Digital Egyptology,Franziska Naether,University of Leipzig,,,,,,,,,,,,,manuscript,encoding,standards,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Digital-Egyptology"
67,2016-2017,Spring,19,08/06/2017,2017,Annotating people and places in Aristophanes and Ovid using Recogito,Neven Jovanović,University of Zagreb,,,,,,,,,,,,,annotation,named entities,prosopography,geography,text analysis,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Annotating-Aristophanes-Ovid"
68,2016-2017,Spring,20,15/06/2017,2017,Annotating and representing ancient lexicographical texts and similes,Stylianos Chronopoulos,University of Freiburg,,,,,,,,,,,,,annotation,visualisation,XML-TEI,text encoding,standards,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Annotating-and-representing-ancient-lexicographical-texts-and-similes"
69,2016-2017,Spring,21,23/06/2017,2017,Historical GIS of South-Estern Europe - Joint session with the Digital Classicist Seminar London,Dimitar Illiev,University of Sofia,Maria Baramova,University of Sofia,Grigor Boykov,University of Sofia,,,,,,,,,data mining,visualisation,maps and mapping,linked open data,,,
70,2016-2017,Spring,22,29/06/2017,2017,Reading and visualizing geo-annotated data,Chiara Palladino,University of Leipzig / University of Bari,Valeria Vitale,University of London,Marcel Mernitz,University of Leipzig,,,,,,,,,visualisation,maps and mapping,data mining,linked open data,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Reading-and-visualizing-geo-annotated-data"
71,2016-2017,Spring,23,06/07/2017,2017,Topic modelling of morphologically complex languages,Thomas Köntges,University of Leipzig,,,,,,,,,,,,,treebank,teaching and pedagogy,topic modeling,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Topic-modelling-of-morphologically-complex-languages"
72,2017-2018,Fall,1,14/09/2017,2017,"Overview, cultural heritage and digital humanities",Gabriel Bodard,University of London,Tom Elliott,"Institute for the Study of the Ancient World, New York University",Simona Stoyanova,University of London,Rada Varga,"Babeș-Bolyai University, Cluj-Napoca",,,,,,,digital methods,cultural studies,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Overview,-cultural-heritage-and-digital-humanities"
73,2017-2018,Fall,2,21/09/2017,2017,Crowdsourcing archaeological data: Portable antiquities scheme,John Pearce,King's College London,,,,,,,,,,,,,crowdsourcing,archaeology,data mining,linked open data,database,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Crowdsourcing-archaeological-data:-Portable-antiquities-scheme"
74,2017-2018,Fall,3,05/10/2017,2017,Geographic annotation and visualisation,Paula Granados García,Open University,Valeria Vitale,University of London,,,,,,,,,,,geography,annotation,visualisation,linked open data,annotation,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Geographic-annotation-and-visualisation"
75,2017-2018,Fall,4,12/10/2017,2017,Geographic Information Systems I: encoding geographic data,Paula Granados García,Open University,Valeria Vitale,University of London,,,,,,,,,,,encoding,maps and mapping,visualisation,data mining,geography,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Geographic-Information-Systems-I:-encoding-geographic-data"
76,2017-2018,Fall,5,19/10/2017,2017,Geographic Information Systems II: interpreting geographic data,Chiara Palladino,University of Leipzig / University of Bari,Tom Elliott,"Institute for the Study of the Ancient World, New York University",,,,,,,,,,,data mining,text mining,visualisation,maps and mapping,geography,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Geographic-Information-Systems-II:-interpreting-geographic-data"
77,2017-2018,Fall,6,26/10/2017,2017,"Structuring, querying and visualising data",Gabriel Bodard,University of London,Tom Elliott,"Institute for the Study of the Ancient World ,New York University",Rada Varga,"Babeș-Bolyai University, Cluj-Napoca",,,,,,,,,visualisation,data mining,standards,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Structuring,-querying-and-visualising-data"
78,2017-2018,Fall,7,02/11/2017,2017,Data transformation with python and regular expressions,Matteo Romanello,"Deutsches Archäologisches Institut, Berlin / École polytechnique fédérale de Lausanne",Simona Stoyanova,University of London,,,,,,,,,,,data mining,database,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Data-transformation-with-python-and-regular-expressions"
79,2017-2018,Fall,8,09/11/2017,2017,Linking text and image,Charlotte Roueché,King's College London,Simona Stoyanova,University of London,Gabriel Bodard,University of London,,,,,,,,,linked open data,visualisation,digital edition,annotation,encoding,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Linking-text-and-image"
80,2017-2018,Fall,9,16/11/2017,2017,Prosopography and linked person-data,Gabriel Bodard,University of London,Rada Varga,"Babeș-Bolyai University,Cluj-Napoca",,,,,,,,,,,prosopography,linked open data,database,data mining,,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Prosopography-and-linked-person-data"
81,2017-2018,Fall,10,23/11/2017,2017,3D scanning and imaging,Graeme Earl,King's College London,Sven Gronemeyer,University of Bonn,Valeria Vitale,University of London,,,,,,,,,digitisation,epigraphy,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/3D-scanning-and-imaging"
82,2017-2018,Fall,11,30/11/2017,2017,3D modelling and design,Graeme Earl,King's College London,Tom Flynn,SketchFab,Valeria Vitale,University of London,,,,,,,,,digitisation,visualisation,objects and artefacts,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/3D-modelling-and-design"
83,2017-2018,Fall,12,07/12/2017,2017,3D printing,Gabriel Bodard,University of London,Philip Carter,University of London,Tyler Jo Smith,University of Virginia,,,,,,,,,digitisation,visualisation,objects and artefacts,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/3D-printing"
84,2017-2018,Fall,13,14/12/2017,2017,Network analysis and visualisation,Yanne Broux,University of Bordeaux,Ryan Horne,University of Pittsburgh,,,,,,,,,,,visualisation,maps and mapping,data analysis,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Network-analysis-and-visualisation"
