n_total,season,n_in_season,date,title,themes_1,themes_2,themes_3,discipline_1,discipline_2,method_1,method_2,class outline
192,Summer,4,06/05/2021,Linguistic Annotations of Greek and Latin Inscriptions,epigraphy,annotation,,epigraphy,linguistics,annotation,pos tagging,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-4
193,Summer,5,20/05/2021,Learning and Reading ancient Greek with Pedalion,linguistics,teaching and pedagogy,,philology,pedagogy,teaching,content analysis,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-6
194,Summer,6,27/05/2021,Reading and Learning ancient Greek with Diorisis and the Scaife Viewer,linguistics,teaching and pedagogy,,philology,pedagogy,teaching,structural analysis,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-7
195,Summer,7,03/06/2021,Trismegistos People,prosopography,manuscript,,papyrology,history,relational analysis,data mining,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-8
196,Summer,8,10/06/2021,Named Entity Recognition and Prosopography,prosopography,annotation,linked open data,history,linguistics,tagging,text mining,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-9
197,Summer,9,17/06/2021,Annotating Geographical Data with Recogito,geography,annotation,text analysis,geography,philology,annotation,georeferencing,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-10
198,Summer,10,24/06/2021,Citation for Historical Texts and the Cited Loci Project,text mining,annotation,linked open data,philology,history,annotation,linked data,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-11
199,Summer,11,01/07/2021,The Digital Latin Library,linked open data,semantic Web,digital archives and library,philology,digital humanities,editing,publishing,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-12
200,Summer,12,08/07/2021,eAQUA. Extraction of structured knowledge from ancient sources for Classical Studies,text mining,,,philology,digital humanities,data mining,content analysis,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-13
201,Summer,13,15/07/2021,Beyond Classics: The Book of the Dead in 3D,digitisation,archaeology,visualisation,archaeology,cultural heritage,modeling,visualization,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-14
202,Summer,14,22/07/2021,Beyond Classics: The Turin Papyrus Online Platform (TPOP),digitisation,database,,papyrology,cultural heritage,publishing,archiving,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/SunoikisisDC-Summer-2021-Session-15
203,Fall,1,07/10/2021,Philological Search Tools,,text mining,digital archives and library,philology,digital humanities,searching,text mining,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/Philological-Search-Tools
204,Fall,2,14/10/2021,Text Encoding I: EpiDoc,XML-TEI,annotation,epigraphy,epigraphy,digital humanities,encoding,annotation,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/Text-Encoding-I-EpiDoc
205,Fall,3,21/10/2021,Text Analysis with Voyant,text mining,,,philology,digital humanities,content analysis,visualization,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/Text-Analysis-with-Voyant
206,Fall,4,28/10/2021,Text Encoding II: Objects,XML-TEI,archaeology,annotation,archaeology,epigraphy,encoding,annotation,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/Text-Encoding-II-Objects
207,Fall,5,04/11/2021,Research with Treebanks,text analysis,epigraphy,linguistics,linguistics,philology,structural analysis,searching,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/Research-with-Treebanks
208,Fall,6,11/11/2021,cancelled,,,,,,,,
209,Fall,7,18/11/2021,Translation and Text Alignment,digital humanities history,translation,,linguistics,philology,translation,alignment,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/Translation-and-Text-Alignment
210,Fall,8,25/11/2021,Text and Web Annotation,,,,linguistics,philology,annotating,linked open data,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/Text-and-Web-Annotation
211,Fall,9,02/12/2021,Computational Linguistics,,,,linguistics,digital humanities,teaching,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/Computational-Linguistics
212,Spring,1,13/01/2022,Crowdsourcing and cultural heritage,,linked open data,cultural studies,digital humanities,,crowdsourcing,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/1-Crowdsourcing
213,Spring,2,20/01/2022,"Museum data, access and metadata",,,,digital humanities,museology,organizing,linked open data,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/2-Museum-data
214,Spring,3,27/01/2022,3D imaging in museum research,digitisation,"GLAM: galleries,libraries,archives,museums",archaeology,digital humanities,museology,teaching,organizing,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/3-3D-imaging
215,Spring,4,03/02/2022,Digital heritage collections,"GLAM: galleries,libraries,archives,museums",copyright license and open access,cultural studies,digital humanities,museology,archiving,preservation metadata,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/4-Digital-heritage
216,Spring,5,10/02/2022,3D modelling and reconstruction,digitisation,visualisation,cultural studies,digital humanities,archaeology,teaching,modeling,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/5-3D-modelling
217,Spring,6,17/02/2022,Linked geographical data and annotation,linked open data,maps and mapping,semantic Web,geography,,georeferencing,annotating,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/6-Linked-Geodata
218,Spring,7,24/02/2022,Reuse of heritage data and open licenses,"GLAM: galleries,libraries,archives,museums",copyright license and open access,,museology,,linked open data,upload,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/7-Reuse-of-heritage
219,Spring,8,03/03/2022,Geographic Information Systems,geography,cultural studies,archaeology,geography,archaeology,spatial analysis,data visualization,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/8-GIS
220,Spring,9,10/03/2022,"Archaeology, VR and other gaming technologies",virtual and augmented reality,digitisation,archaeology,digital humanities,archaeology,teaching,modeling,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/9-VR-and-archaeology
221,Summer,1,28/04/2022,WordNets for Ancient Indo-European Languages,Digital-Lexicography,Word-Nets,Linguistic-Research,linguistics,digital humanities,teaching,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/SunoikisisDC-Summer-2022-Session-1
