n_total,season,n_in_season,date,title,themes_1,themes_2,themes_3,discipline_1,discipline_2,method_1,method_2,class outline
268,Spring,8,13/03/2025,Text alignment,,,,philology,,comparing,,https://github.com/SunoikisisDC/SunoikisisDC-2024-2025/wiki/8-Text-Alignment
269,Spring,9,20/03/2025,Papyrological texts and linguistic research,,,,paleography,linguistics,exploring,,https://github.com/SunoikisisDC/SunoikisisDC-2024-2025/wiki/9-Linguistics
270,Spring,1,15/01/2026,What is Digital Classics/Cultural Heritage?,,,,digital humanities,museology,teaching,,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/1-What-Is-DCH
271,Spring,2,22/01/2026,Collaborative Cultural Heritage Geodata,,,,digital humanities,geography,georeferencing,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/2-Collaborative-Geodata
272,Spring,3,29/01/2026,3D Modelling and Visualisation,,,,digital humanities,,teaching,modeling,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/3-3D-Modelling
273,Spring,4,05/02/2026,3D and 2½D Imaging,,,,digital humanities,,teaching,imaging,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/4-3D-Imaging
274,Spring,5,12/02/2026,Geographic Information Systems,,,,geography,digital humanities,exploring,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/5-GIS
275,Spring,6,26/02/2026,Working with Indigenous Heritage,,,,history,anthropology,knowledge discovery,,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/6-Indigenous-Heritage
276,Spring,7,05/03/2026,Epigraphic Object Encoding,,,,epigraphy,digital humanities,encoding,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/7-EpiDoc
277,Spring,8,12/03/2026,"Ethics, Sustainability & Paradata in 3D Heritage",,,,digital humanities,archaeology,knowledge discovery,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/8-Ethical-3D
278,Spring,9,19/03/2026,VR and Virtual Environments,,,,digital humanities,,georeferencing,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/9-VR
279,Summer,1,21/04/2026,Introduction to Digital Scholarly Edition,,,,digital humanities,,academic publishing,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/Summer-2026-Session-1
280,Summer,2,28/04/2026,Tools and Environments for Publishing Digital Scholarly Editions,,,,digital humanities,,academic publishing,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/Summer-2026-Session-2
281,Summer,3,05/05/2026,From the Manuscript to the Digital Scholarly Edition,,,,paleography,digital humanities,capturing,academic publishing,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/Summer-2026-Session-3
282,Summer,4,12/05/2026,Linked Open Data in Digital Scholarly Editions,,,,digital humanities,,teaching,linked open data,https://github.com/SunoikisisDC/SunoikisisDC-2025-2026/wiki/Summer-2026-Session-4
